address,level,
0x42d76fb8801ab173de27707191ea755a0b9f0d0b,high,",('0x42d76fb8801ab173de27707191ea755a0b9f0d0b','high')"
0x052c68abe8e4bf0b78925e488b98f6fdc18a3af9,high,",('0x052c68abe8e4bf0b78925e488b98f6fdc18a3af9','high')"
0x7ecf6689ba09e0a3adb2044e89984d737e186432,high,",('0x7ecf6689ba09e0a3adb2044e89984d737e186432','high')"
0x5249852a88b10996460474b5237b2ef78e029a79,high,",('0x5249852a88b10996460474b5237b2ef78e029a79','high')"
0x0ec40d476d4beb29c8b21c1059961aca66b362a4,high,",('0x0ec40d476d4beb29c8b21c1059961aca66b362a4','high')"
0xce8972a46f5c0404410520c5c8270415008f2771,high,",('0xce8972a46f5c0404410520c5c8270415008f2771','high')"
0x98c1fbe20a78f0f0402ca8bb999e73db44dbe797,high,",('0x98c1fbe20a78f0f0402ca8bb999e73db44dbe797','high')"
0xcfbf40045a0caec4845dc8e078015b3f0a9d4db9,high,",('0xcfbf40045a0caec4845dc8e078015b3f0a9d4db9','high')"
0x04d4ab680b1b646dc17128464ebc42cb0d042657,high,",('0x04d4ab680b1b646dc17128464ebc42cb0d042657','high')"
0x8749fcdf456d80458c2845f4c295a918b9160ae9,high,",('0x8749fcdf456d80458c2845f4c295a918b9160ae9','high')"
0x844332e118f5da7e218841e258173afe3f0339b1,high,",('0x844332e118f5da7e218841e258173afe3f0339b1','high')"
0xd60c85c95bd8fc72438b3651d88de90db332a3b4,high,",('0xd60c85c95bd8fc72438b3651d88de90db332a3b4','high')"
0xa1b139abdc5c2888969cd2b2fdf5a7a4517814de,high,",('0xa1b139abdc5c2888969cd2b2fdf5a7a4517814de','high')"
0x5430bd3499a8a0d1233a2c2f3c97199ef7a78c39,high,",('0x5430bd3499a8a0d1233a2c2f3c97199ef7a78c39','high')"
0x9abc54349ed8a7e1bee55e03e320cddbb23a86d6,high,",('0x9abc54349ed8a7e1bee55e03e320cddbb23a86d6','high')"
0x9a76c51bdae5d9ab081b73d59d78a835edd74b1f,high,",('0x9a76c51bdae5d9ab081b73d59d78a835edd74b1f','high')"
0x9e51942c8d82703a35e43a33906b93a856572347,high,",('0x9e51942c8d82703a35e43a33906b93a856572347','high')"
0x6c890b3b5b6eb81b030650de764c057fc0e14985,high,",('0x6c890b3b5b6eb81b030650de764c057fc0e14985','high')"
